"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","0.539428949356","2.23096394539","852.7536398428484","206.18889917552434"
"1","410696358","1.175","0.861983060837","2.28355693817","533.6531782346666","201.44012715897335"
"2","410696358","1.175","0.8533680439","2.45222115517","539.0405737458739","187.58503858056125"
"3","410696358","1.175","0.856044054031","2.30342698097","537.3555225735404","199.70244500905832"
"4","410696358","1.175","0.862958908081","2.27140784264","533.0497149892029","202.51757142219856"
"5","410696358","1.175","0.866819858551","2.27072095871","530.6754286512715","202.57883217028308"
"6","410696358","1.175","0.86284995079","2.3492770195","533.1170264060646","195.80492048475367"
"7","410696358","1.175","0.885272026062","2.37671899796","519.6142953327409","193.54412549221652"
"8","410696358","1.175","0.882934093475","2.32985091209","520.9901887346779","197.43752598596228"
"9","410696358","1.175","0.870469093323","2.28817105293","528.450698053033","201.03392157261143"
